"시점",전월비 (%),전월비 (%),전월비 (%),전월비 (%),전월비 (%),전년동월비 (%),전년동월비 (%),전년동월비 (%),전년동월비 (%),전년동월비 (%),전년누계비 (%),전년누계비 (%),전년누계비 (%),전년누계비 (%),전년누계비 (%)
"시점",총지수,생활물가지수,신선식품지수,농산물및석유류제외지수,식료품및에너지제외지수,총지수,생활물가지수,신선식품지수,농산물및석유류제외지수,식료품및에너지제외지수,총지수,생활물가지수,신선식품지수,농산물및석유류제외지수,식료품및에너지제외지수
"2015. 01",0.7,0.2,6.3,1.1,1.3,1.0,-0.3,-1.2,2.6,2.4,1.0,-0.3,-1.2,2.6,2.4
"2015. 02",-0.1,0.0,2.7,0.1,0.1,0.6,-0.6,-0.7,2.4,2.4,0.8,-0.4,-1.0,2.5,2.4
"2015. 03",0.0,0.1,-2.6,0.1,0.2,0.5,-0.6,-1.5,2.2,2.4,0.7,-0.5,-1.2,2.4,2.4
"2015. 04",0.0,-0.1,0.3,0.0,0.1,0.4,-0.7,-0.1,2.1,2.3,0.6,-0.5,-0.9,2.3,2.4
"2015. 05",0.3,0.2,2.2,0.3,0.2,0.6,-0.5,3.6,2.1,2.2,0.6,-0.5,0.0,2.3,2.3
"2015. 06",0.0,0.2,-1.9,0.0,0.0,0.7,-0.1,6.0,2.0,2.2,0.6,-0.5,0.9,2.2,2.3
"2015. 07",0.2,0.0,-0.7,0.2,0.5,0.7,-0.1,5.5,2.1,2.5,0.6,-0.4,1.5,2.2,2.3
"2015. 08",0.1,0.1,1.9,0.2,0.2,0.7,-0.1,3.1,2.1,2.6,0.6,-0.4,1.8,2.2,2.4
"2015. 09",-0.3,-0.1,-1.0,-0.2,-0.2,0.5,-0.3,0.5,2.0,2.4,0.6,-0.4,1.6,2.2,2.4
"2015. 10",0.0,-0.1,-2.7,0.2,0.1,0.8,0.1,3.5,2.2,2.5,0.7,-0.3,1.8,2.2,2.4
"2015. 11",-0.2,-0.2,-3.8,0.0,0.1,0.8,0.1,2.3,2.2,2.6,0.7,-0.3,1.8,2.2,2.4
"2015. 12",0.3,0.2,5.6,0.2,0.2,1.1,0.5,5.6,2.3,2.6,0.7,-0.2,2.1,2.2,2.4
"2016. 01",0.2,0.1,3.2,0.4,0.5,0.6,0.4,2.5,1.6,1.8,0.6,0.4,2.5,1.6,1.8
"2016. 02",0.4,0.6,8.4,0.2,0.2,1.1,1.0,8.2,1.7,1.9,0.9,0.7,5.4,1.6,1.8
"2016. 03",-0.3,-0.4,-3.0,0.1,0.1,0.8,0.5,7.8,1.7,1.9,0.9,0.6,6.2,1.7,1.9
"2016. 04",0.2,0.0,-0.4,0.2,0.2,1.0,0.6,7.0,1.9,2.0,0.9,0.7,6.4,1.7,1.9
"2016. 05",0.1,0.0,-3.2,0.2,0.2,0.8,0.4,1.3,1.8,2.0,0.9,0.6,5.4,1.7,1.9
"2016. 06",0.0,0.1,-6.5,0.1,0.0,0.7,0.3,-3.4,1.8,2.1,0.9,0.5,3.9,1.7,1.9
"2016. 07",-0.2,-0.6,0.7,-0.2,0.2,0.4,-0.3,-2.0,1.3,1.8,0.8,0.4,3.1,1.7,1.9
"2016. 08",0.3,0.2,5.0,0.1,0.2,0.5,-0.2,1.1,1.3,1.8,0.8,0.4,2.8,1.6,1.9
"2016. 09",0.6,1.1,14.2,0.0,-0.1,1.3,1.0,16.6,1.5,2.0,0.8,0.4,4.4,1.6,1.9
"2016. 10",0.1,0.4,-5.4,0.4,0.0,1.5,1.4,13.3,1.8,1.9,0.9,0.5,5.2,1.6,1.9
"2016. 11",-0.1,0.0,-3.1,-0.1,-0.1,1.5,1.6,14.2,1.6,1.7,0.9,0.6,6.0,1.6,1.9
"2016. 12",0.1,-0.2,3.5,-0.1,0.1,1.3,1.2,12.0,1.2,1.6,1.0,0.7,6.5,1.6,1.9
"2017. 01",1.1,1.5,6.8,0.7,0.6,2.2,2.6,15.9,1.6,1.8,2.2,2.6,15.9,1.6,1.8
"2017. 02",0.3,0.4,0.7,0.2,0.3,2.1,2.5,7.6,1.6,1.8,2.2,2.6,11.6,1.6,1.8
"2017. 03",-0.1,0.0,-1.6,0.0,0.0,2.3,2.9,9.2,1.5,1.7,2.2,2.7,10.8,1.5,1.7
"2017. 04",-0.1,-0.4,-3.8,0.1,0.1,2.0,2.4,5.4,1.4,1.6,2.1,2.6,9.4,1.5,1.7
"2017. 05",0.1,0.0,-2.4,0.2,0.2,2.0,2.5,6.3,1.4,1.5,2.1,2.6,8.8,1.5,1.7
"2017. 06",-0.2,-0.1,-3.6,0.0,-0.1,1.8,2.3,9.6,1.3,1.5,2.1,2.5,8.9,1.5,1.6
"2017. 07",0.2,0.0,0.3,0.2,0.3,2.2,3.0,9.1,1.8,1.5,2.1,2.6,9.0,1.5,1.6
"2017. 08",0.6,0.8,11.3,0.1,0.1,2.5,3.5,15.6,1.8,1.5,2.1,2.7,9.8,1.5,1.6
"2017. 09",0.1,0.4,3.3,-0.1,-0.2,2.0,2.8,4.6,1.6,1.4,2.1,2.7,9.1,1.5,1.6
"2017. 10",-0.1,-0.4,-8.4,0.2,0.2,1.8,2.0,1.3,1.3,1.6,2.1,2.7,8.3,1.5,1.6
"2017. 11",-0.7,-0.8,-8.0,-0.4,-0.3,1.2,1.3,-3.8,1.1,1.3,2.0,2.5,7.2,1.5,1.6
"2017. 12",0.4,0.2,3.7,0.2,0.2,1.4,1.6,-3.7,1.4,1.4,1.9,2.5,6.2,1.5,1.5
"2018. 01",0.4,0.6,5.1,0.2,0.2,0.8,0.7,-5.2,0.9,1.0,0.8,0.7,-5.2,0.9,1.0
"2018. 02",0.8,1.0,8.9,0.4,0.4,1.3,1.3,2.6,1.1,1.2,1.0,1.0,-1.3,1.0,1.1
"2018. 03",-0.1,-0.2,-5.3,0.2,0.2,1.2,1.1,-1.2,1.3,1.3,1.1,1.0,-1.3,1.1,1.2
"2018. 04",0.2,0.0,0.4,0.2,0.2,1.5,1.5,3.1,1.4,1.4,1.2,1.2,-0.2,1.2,1.2
"2018. 05",0.0,0.0,-3.6,0.1,0.1,1.5,1.5,1.9,1.3,1.4,1.2,1.2,0.2,1.2,1.3
"2018. 06",-0.2,-0.1,-5.5,-0.1,-0.2,1.5,1.5,-0.2,1.2,1.3,1.3,1.3,0.1,1.2,1.3
"2018. 07",-0.2,-0.4,-0.9,-0.2,0.0,1.1,1.1,-1.3,0.8,1.0,1.3,1.2,-0.1,1.1,1.2
"2018. 08",0.9,1.2,18.2,0.2,0.2,1.4,1.5,4.8,0.9,1.0,1.3,1.3,0.6,1.1,1.2
"2018. 09",0.8,1.3,9.3,0.3,-0.1,2.1,2.5,11.0,1.3,1.1,1.4,1.4,1.8,1.1,1.2
"2018. 10",-0.2,-0.3,-8.2,0.1,0.1,2.0,2.6,11.2,1.2,1.0,1.4,1.5,2.7,1.1,1.2
"2018. 11",-0.7,-1.0,-8.6,-0.2,-0.1,2.0,2.3,10.5,1.4,1.2,1.5,1.6,3.4,1.2,1.2
"2018. 12",-0.3,-0.8,0.0,0.0,0.0,1.3,1.3,6.6,1.3,1.1,1.5,1.6,3.6,1.2,1.2
"2019. 01",-0.1,-0.3,-0.2,0.2,0.2,0.8,0.4,1.2,1.2,1.0,0.8,0.4,1.2,1.2,1.0
"2019. 02",0.4,0.6,2.1,0.4,0.5,0.5,0.0,-5.2,1.3,1.1,0.6,0.2,-2.2,1.2,1.1
"2019. 03",-0.2,-0.2,-3.1,-0.1,-0.2,0.4,0.0,-3.0,0.9,0.7,0.5,0.2,-2.4,1.1,1.0
"2019. 04",0.4,0.3,0.7,0.2,0.2,0.6,0.4,-2.7,0.9,0.7,0.5,0.2,-2.5,1.1,0.9
"2019. 05",0.2,0.5,-3.0,0.1,0.0,0.7,0.8,-2.1,0.8,0.6,0.6,0.3,-2.4,1.0,0.8
"2019. 06",-0.2,-0.1,-3.5,-0.1,-0.1,0.7,0.8,0.0,0.9,0.7,0.6,0.4,-2.0,1.0,0.8
"2019. 07",-0.3,-0.8,-2.5,-0.2,0.2,0.6,0.4,-1.6,1.0,0.9,0.6,0.4,-2.0,1.0,0.8
"2019. 08",0.2,0.3,3.4,0.1,0.1,0.0,-0.4,-13.9,0.9,0.8,0.5,0.3,-3.6,1.0,0.8
"2019. 09",0.4,0.8,7.6,0.0,-0.4,-0.4,-0.9,-15.3,0.6,0.5,0.4,0.2,-5.1,1.0,0.8
"2019. 10",0.2,0.4,-0.1,0.2,0.2,0.0,-0.3,-7.8,0.8,0.6,0.4,0.1,-5.4,0.9,0.8
"2019. 11",-0.6,-0.6,-6.1,-0.3,-0.2,0.2,0.2,-5.3,0.6,0.5,0.4,0.1,-5.4,0.9,0.7
"2019. 12",0.2,0.1,3.2,0.1,0.1,0.7,1.1,-2.2,0.7,0.6,0.4,0.2,-5.1,0.9,0.7
"2020. 01",0.6,0.7,6.3,0.4,0.4,1.5,2.1,4.1,0.9,0.8,1.5,2.1,4.1,0.9,0.8
"2020. 02",0.0,0.1,-1.4,0.1,0.1,1.1,1.7,0.7,0.6,0.5,1.3,1.9,2.4,0.8,0.7
"2020. 03",-0.2,-0.1,-0.1,-0.1,-0.2,1.0,1.8,3.8,0.7,0.4,1.2,1.9,2.9,0.8,0.6
"2020. 04",-0.6,-1.1,-0.1,-0.2,-0.2,0.1,0.3,2.9,0.3,0.1,0.9,1.5,2.9,0.7,0.5
"2020. 05",-0.2,-0.5,-2.5,0.2,0.1,-0.3,-0.7,3.4,0.5,0.1,0.7,1.0,3.0,0.6,0.4
"2020. 06",0.2,0.3,-2.7,0.1,0.0,0.0,-0.3,4.3,0.6,0.2,0.6,0.8,3.2,0.6,0.4
"2020. 07",0.0,-0.5,1.3,-0.1,0.3,0.3,0.0,8.4,0.7,0.4,0.5,0.7,3.9,0.6,0.4
"2020. 08",0.6,0.8,10.5,0.2,0.2,0.7,0.5,15.8,0.8,0.4,0.5,0.7,5.3,0.6,0.4
"2020. 09",0.7,1.3,13.0,0.1,-0.3,1.0,0.9,21.5,0.9,0.6,0.6,0.7,7.2,0.7,0.4
"2020. 10",-0.6,-1.3,-1.4,-0.5,-0.7,0.1,-0.7,19.9,0.1,-0.3,0.5,0.6,8.5,0.6,0.3
"2020. 11",-0.1,0.1,-11.5,0.6,0.6,0.6,-0.1,13.1,1.0,0.6,0.5,0.5,8.9,0.7,0.3
"2020. 12",0.2,0.1,0.4,0.0,0.0,0.5,-0.1,10.0,0.9,0.5,0.5,0.4,9.0,0.7,0.4
