"시점",연월말,등락폭,등락률 (%),평균,종가기준,종가기준,종가기준,종가기준,종가기준,종가기준,장중기준,장중기준,장중기준,장중기준,장중기준,장중기준
"시점",소계,소계,소계,소계,최고,최고,최고,최저,최저,최저,최고,최고,최고,최저,최저,최저
"시점",소계,소계,소계,소계,지수,월 (월),일 (일),지수,월 (월),일 (일),지수,월 (월),일 (일),지수,월 (월),일 (일)
"2015. 01",1949.26,33.67,1.76,1920.99,1961.58,1,28,1882.45,1,6,1964.13,1,30,1876.27,1,7
"2015. 02",1985.8,36.54,1.87,1961,1993.08,2,26,1935.86,2,10,1993.43,2,26,1932.75,2,12
"2015. 03",2041.03,55.23,2.78,2012.62,2042.81,3,25,1970.59,3,12,2047.13,3,19,1969.13,3,11
"2015. 04",2127.17,86.14,4.22,2107.27,2173.41,4,23,2028.45,4,1,2189.54,4,24,2024.64,4,1
"2015. 05",2114.8,-12.37,-0.58,2114.9,2146.10,5,22,2085.52,5,8,2148.70,5,26,2067.99,5,7
"2015. 06",2074.2,-40.60,-1.92,2063.69,2102.37,6,1,2028.72,6,16,2110.88,6,1,2008.46,6,16
"2015. 07",2030.16,-44.04,-2.12,2058.03,2107.33,7,2,2016.21,7,8,2110.81,7,2,1983.78,7,9
"2015. 08",1941.49,-88.67,-4.37,1952.55,2029.76,8,5,1829.81,8,24,2038.41,8,6,1800.75,8,24
"2015. 09",1962.81,21.32,1.10,1939.58,1995.95,9,18,1878.68,9,8,1996.47,9,18,1868.48,9,8
"2015. 10",2029.47,66.66,3.40,2020.57,2048.08,10,26,1969.68,10,2,2064.72,10,29,1958.63,10,1
"2015. 11",1991.97,-37.50,-1.85,2006.78,2052.77,11,4,1943.02,11,16,2056.12,11,4,1942.85,11,16
"2015. 12",1961.31,-30.66,-1.54,1971.53,2023.93,12,1,1927.82,12,14,2026.33,12,1,1919.22,12,14
"2016. 01",1912.06,-49.25,-2.51,1894.65,1930.53,1,5,1840.53,1,21,1954.52,1,4,1830.06,1,20
"2016. 02",1916.66,4.60,0.24,1900.61,1924.82,2,1,1835.28,2,12,1929.53,2,23,1817.97,2,12
"2016. 03",1995.85,79.19,4.13,1976.5,2002.14,3,30,1946.12,3,8,2009.10,3,30,1935.55,3,8
"2016. 04",1994.15,-1.70,-0.09,1996.17,2022.10,4,21,1962.74,4,5,2023.77,4,20,1954.11,4,8
"2016. 05",1983.4,-10.75,-0.54,1966.68,1986.41,5,3,1937.68,5,24,1991.84,5,2,1937.67,5,24
"2016. 06",1970.35,-13.05,-0.66,1977.03,2027.08,6,8,1925.24,6,24,2035.27,6,9,1892.75,6,24
"2016. 07",2016.19,45.84,2.33,2002.48,2027.34,7,26,1953.12,7,6,2030.69,7,27,1944.33,7,6
"2016. 08",2034.65,18.46,0.92,2036.66,2056.24,8,19,1994.79,8,3,2063.09,8,16,1993.00,8,3
"2016. 09",2043.63,8.98,0.44,2042.56,2068.72,9,29,1991.48,9,12,2073.89,9,7,1991.47,9,12
"2016. 10",2008.19,-35.44,-1.73,2036.03,2065.30,10,6,2008.19,10,31,2070.43,10,6,2002.29,10,26
"2016. 11",1983.48,-24.71,-1.23,1981.75,2007.39,11,1,1958.38,11,9,2015.23,11,9,1931.07,11,9
"2016. 12",2026.46,42.98,2.17,2021.67,2042.24,12,16,1963.36,12,5,2053.46,12,21,1960.65,12,5
"2017. 01",2067.57,41.11,2.03,2061.73,2087.14,1,12,2026.16,1,2,2091.02,1,19,2015.68,1,2
"2017. 02",2091.64,24.07,1.16,2082.8,2107.63,2,23,2065.08,2,8,2108.99,2,23,2052.29,2,8
"2017. 03",2160.23,68.59,3.28,2136.17,2178.38,3,21,2078.75,3,3,2182.42,3,23,2067.68,3,6
"2017. 04",2205.44,45.21,2.09,2160.18,2209.46,4,27,2123.85,4,11,2217.04,4,28,2117.82,4,11
"2017. 05",2347.38,141.94,6.44,2301.89,2355.30,5,26,2219.67,5,2,2371.67,5,29,2212.87,5,2
"2017. 06",2391.79,44.41,1.89,2372.2,2395.66,6,29,2344.61,6,1,2402.80,6,29,2335.63,6,1
"2017. 07",2402.71,10.92,0.46,2412.9,2451.53,7,24,2379.87,7,7,2453.17,7,25,2372.83,7,7
"2017. 08",2363.19,-39.52,-1.64,2372.18,2427.63,8,2,2319.71,8,11,2434.47,8,2,2310.20,8,11
"2017. 09",2394.47,31.28,1.32,2371.84,2418.21,9,18,2319.82,9,6,2429.12,9,20,2314.31,9,6
"2017. 10",2523.43,128.96,5.39,2482.87,2523.43,10,31,2433.81,10,10,2528.32,10,31,2421.10,10,10
"2017. 11",2476.37,-47.06,-1.86,2533.51,2557.97,11,3,2476.37,11,30,2561.63,11,2,2474.28,11,30
"2017. 12",2467.49,-8.88,-0.36,2467.73,2510.12,12,5,2427.34,12,26,2514.61,12,14,2411.48,12,27
"2018. 01",2566.46,98.97,4.01,2520.94,2598.19,1,29,2466.46,1,4,2607.10,1,29,2465.94,1,2
"2018. 02",2427.36,-139.10,-5.42,2439.1,2568.54,2,1,2363.77,2,9,2583.74,2,1,2346.73,2,9
"2018. 03",2445.85,18.49,0.76,2451.57,2496.02,3,22,2375.06,3,5,2508.71,3,22,2374.80,3,5
"2018. 04",2515.38,69.53,2.84,2458.22,2515.38,4,30,2408.06,4,4,2515.38,4,30,2405.91,4,4
"2018. 05",2423.01,-92.37,-3.67,2461.3,2505.61,5,2,2409.03,5,30,2516.57,5,2,2399.58,5,30
"2018. 06",2326.13,-96.88,-4.00,2394.51,2470.58,6,7,2314.24,6,28,2479.56,6,12,2296.39,6,29
"2018. 07",2295.26,-30.87,-1.33,2284.25,2310.90,7,13,2257.55,7,5,2327.59,7,2,2243.90,7,5
"2018. 08",2322.88,27.62,1.20,2283.8,2322.88,8,31,2240.80,8,16,2322.88,8,31,2218.09,8,16
"2018. 09",2343.07,20.19,0.87,2307.33,2355.43,9,27,2281.58,9,7,2356.62,9,28,2264.90,9,7
"2018. 10",2029.69,-313.38,-13.37,2153.48,2338.88,10,1,1996.05,10,29,2352.11,10,1,1985.95,10,30
"2018. 11",2096.86,67.17,3.31,2083.33,2114.10,11,29,2024.46,11,1,2136.74,11,29,2023.43,11,1
"2018. 12",2041.04,-55.82,-2.66,2070.13,2131.93,12,3,2028.01,12,26,2136.64,12,3,2014.28,12,26
"2019. 01",2204.85,163.81,8.03,2101.98,2206.20,1,30,1993.70,1,3,2222.88,1,31,1984.53,1,4
"2019. 02",2195.44,-9.41,-0.43,2210.2,2234.79,2,27,2177.05,2,8,2241.76,2,25,2167.36,2,11
"2019. 03",2140.67,-54.77,-2.49,2161.91,2190.66,3,4,2128.10,3,28,2216.02,3,4,2120.93,3,28
"2019. 04",2203.59,62.92,2.94,2212.12,2248.63,4,16,2168.28,4,1,2252.05,4,17,2153.31,4,1
"2019. 05",2041.74,-161.85,-7.34,2086.9,2212.75,5,2,2023.32,5,29,2217.03,5,2,2016.25,5,29
"2019. 06",2130.62,88.88,4.35,2105.3,2134.32,6,27,2066.97,6,4,2141.27,6,27,2029.17,6,3
"2019. 07",2024.55,-106.07,-4.98,2079.48,2129.74,7,1,2024.55,7,31,2147.24,7,1,2010.95,7,31
"2019. 08",1967.79,-56.76,-2.80,1944.24,2017.34,8,1,1909.71,8,7,2032.23,8,1,1891.81,8,6
"2019. 09",2063.05,95.26,4.84,2045.21,2101.04,9,24,1965.69,9,3,2101.63,9,24,1958.59,9,2
"2019. 10",2083.48,20.43,0.99,2065.75,2093.60,10,28,2020.69,10,4,2105.17,10,29,2010.90,10,10
"2019. 11",2087.96,4.48,0.22,2128.79,2162.18,11,15,2087.96,11,29,2165.89,11,18,2081.53,11,1
"2019. 12",2197.67,109.71,5.25,2147.01,2204.21,12,27,2060.74,12,5,2215.55,12,27,2053.56,12,5
"2020. 01",2119.01,-78.66,-3.58,2203.44,2267.25,1,22,2119.01,1,31,2277.23,1,20,2119.01,1,31
"2020. 02",1987.01,-132.00,-6.23,2167.12,2243.59,2,14,1987.01,2,28,2255.49,2,13,1980.82,2,28
"2020. 03",1754.64,-232.37,-11.69,1786.75,2085.26,3,5,1457.64,3,19,2089.08,3,5,1439.43,3,19
"2020. 04",1947.56,192.92,10.99,1849.59,1947.56,4,29,1685.46,4,1,1957.51,4,29,1664.13,4,2
"2020. 05",2029.6,82.04,4.21,1965.17,2031.20,5,27,1895.37,5,4,2054.52,5,28,1894.29,5,4
"2020. 06",2108.33,78.73,3.88,2134.7,2195.69,6,10,2030.82,6,15,2217.21,6,8,2030.82,6,15
"2020. 07",2249.37,141.04,6.69,2195.95,2267.01,7,30,2106.70,7,1,2281.41,7,31,2101.33,7,1
"2020. 08",2326.17,76.80,3.41,2349.87,2437.53,8,13,2251.04,8,3,2458.17,8,13,2237.04,8,3
"2020. 09",2327.89,1.72,0.07,2371.52,2443.58,9,15,2272.70,9,24,2450.53,9,16,2267.63,9,25
"2020. 10",2267.15,-60.74,-2.61,2357.82,2403.73,10,12,2267.15,10,30,2418.89,10,13,2266.93,10,30
"2020. 11",2591.34,324.19,14.30,2504.18,2633.45,11,27,2300.16,11,2,2648.66,11,30,2267.95,11,2
"2020. 12",2873.47,282.13,10.89,2755.77,2873.47,12,30,2634.25,12,1,2878.21,12,30,2611.67,12,1
